SMILES,value
Oc1ccc(CNc2ccccc2O)cc1,5.1457
CCN1CCN(C(=O)CC[N+](=O)[O-])CC1,4.3866
COc1ccc(Nc2ncccc2N)cc1,5.25181
Cc1ccc(CSc2ccncc2)cc1,4.20412
Cc1ccc(-c2nc(=O)ss2)s1,3.97844
O=CCC1=C(O)C(=O)c2ccccc2C1=O,3.44169
CCOc1cc(C)cc2c1C(=O)C=CC2=O,4.49998
CC(=O)c1c(C)cc2cccc(O)c2c1O,3.56833
CCCC1=C(O)C(=O)c2ccccc2C1=O,3.43523
CC1=NNC(=O)/C1=N\Nc1ccc(C)cc1,4.55246
c1ccc(OCCCCn2ccnc2)cc1,4.98422
C=C[C@@H](O)[C@H](O)CNC[C@@H](O)[C@H](O)C=C,2.69897
CCCCCCCCC(O)CNCCO,3.33724
[O-][n+]1nc(NC2CC2)[n+]([O-])c2ccccc21,5.08361
O=C1CC2(CCCC2)Oc2cc(O)ccc21,3.03792
OCc1ccccc1OCCn1ccnc1,4.20965
CC[C@H](CO)n1cnc2ccccc2c1=O,4.63997
Nc1ccccc1Nc1ccc(Cl)cc1,5.69897
O=C(O)CCc1nc2ccccc2oc1=O,5.09691
CC(=O)OCn1nnc2ccccc2c1=O,4.87101
CC(C)(C)C(=O)/C=C/Nc1ccccc1O,5.59346
CC(C)(C)/C(O)=C\C=N\c1ccccc1O,5.59346
CC[C@@H](CO)NC(=O)/C=C/c1ccccc1,5.04001
CSc1nc(N(C)C)c2ccccc2n1,4.36728
Cc1ccc2nc(Cl)c3nnnn3c2c1,4.92493
N#CSc1ccc(C(F)(F)F)c[n+]1[O-],5.94482
CCNc1n[n+]([O-])c2cccc(C)c2[n+]1[O-],5.64847
CCCC1=C(O)C(=O)C2=C(CCCC2)C1=O,3.84466
Oc1cc(-c2ccccc2)c2ccccc2c1,4.56549
c1ccc(-c2c[nH]c(-c3ccccc3)n2)cc1,3.89415
NNc1ncnc2sc3c(c12)CCCC3,3.42655
C[C@H]1CC[C@H]2[C@@H](C=C[C@@H]3COC(=O)[C@@]32C)C1,3.64397
CCCC1CCc2c(sc(N)c2C#N)C1,4.0
CC1(C)OC(=O)C(=Cc2ccc[nH]2)C(=O)O1,6.70997
N#Cc1cc2c(ccc3ccccc32)oc1=O,4.74514
CCOC(=O)/N=N/C(=O)Nc1ccccc1,4.10903
O=C(O)CCCNc1ncnc2[nH]cnc12,4.24791
Nc1ccc2cc(Br)ccc2c1,6.19928
COC(=O)CNc1nc(N)nc2[nH]cnc12,4.55087
C[C@H](Nc1nc(N)nc2[nH]cnc12)C(=O)O,4.24984
CCCC1CC(=O)c2c(O)cc(O)cc2O1,3.04579
Cc1ccc(NC(=O)CC[N+](=O)[O-])c(C)c1,3.88643
Cc1cccc(NC(=O)CC[N+](=O)[O-])c1C,4.28811
c1ccc(-c2cncnc2-c2ccco2)cc1,5.8041
O=C1CCc2nccc3c4ccccc4n1c23,3.68878
O=Nc1c(-c2ccccc2)cc2ccccn12,4.86538
CS(=O)(=O)Nc1cccc2cccnc12,4.933
Cc1ccc(C(C)(C)C)c(OCC(=O)O)c1,4.3098
Fc1cccc2sc(N3CCCC3)nc12,4.74593
CCCCCCNc1cnc(C(N)=O)cn1,3.64782
Cc1cc(O)c2c(c1Cl)C(=O)C=CC2=O,4.49998
Cc1cc(Cl)c2c(c1O)C(=O)C=CC2=O,4.49997
OCCc1ccc(-c2ccc(Cl)cc2)o1,4.62978
Nc1ccc2c(c1)C(=O)C(=O)c1ccccc1-2,6.39686
Oc1nc(-c2ccccn2)nc2ccccc12,5.23151
c1ccc(-c2nnc(-c3ccncc3)o2)cc1,4.86673
CCC(=O)Nc1nnc(-c2cccs2)o1,4.66665
CC(C)CCO[C@@H]1C=CC(=O)[C@@H](CC#N)O1,4.25192
FC(F)(F)c1ccccc1-c1cncnc1,4.55815
FC(F)(F)c1cccc(-c2cncnc2)c1,4.25368
FC(F)(F)c1ccc(-c2cncnc2)cc1,4.25368
CCNc1n[n+]([O-])c2cc(F)ccc2[n+]1[O-],5.64105
O=c1oc(-c2ccccc2[N+](=O)[O-])ns1,4.29702
COc1ccc(NC(=O)CC[N+](=O)[O-])cc1,3.95273
c1cc(-c2nnc(-c3ccncc3)o2)ccn1,4.79843
O=C1CC(Sc2ccc([N+](=O)[O-])cc2)N1,3.95277
