SMILES,value
COc1ccccc1C1=N[C@H](C(=O)OCc2ccccc2)CO1,4.48321
C/C=C/C=N/NC(=O)c1ccncc1,7.76955
CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)Nc3ccc4c(c3)B(O)OC4)N(C(=O)c3coc4ccccc34)C2)n(C)n1,5.39794
CC(=O)N1CCN(C(=O)c2nc3cc(Cl)ccc3s2)CC1,4.41341
CC(=O)N1C[C@@H](OCc2ccc(OC(F)(F)F)cc2)Cn2cc([N+](=O)[O-])nc21,5.20412
COc1ccc2ccc(=O)oc2c1C(CO)=C(C)C,3.71648
Cc1ccc(C)c(N2C(=O)c3cccc4c([N+](=O)[O-])ccc(c34)C2=O)c1,5.6111
Cc1ccnc(NC(=O)CC[N+](=O)[O-])c1,3.92263
CCC(=O)Nc1nnc(-c2cccs2)o1,4.66665
O=[N+]([O-])c1ccc(C2=NNC(c3ccc(Cl)cc3)C2)cc1,4.07774
Cc1ccccc1OCC(=O)Nc1nc2ccccc2[nH]1,5.31731
O=C(CC(C(=O)O)C1c2ccccc2-c2ccccc21)Nc1ccc(F)cc1,4.37059
Cc1ccc(-n2cc(C(=O)c3ccc(N4CCN(C)CC4)cc3)nn2)cc1Cl,6.40782
C(=C/c1nccc2c1[nH]c1ccccc12)\c1ccccc1,5.07526
Cc1c(C(=O)NCc2ccc(Br)cc2)[n+]([O-])c2cc(Cl)ccc2[n+]1[O-],4.89926
CC(C)(C)n1cc(C(=O)O)c(=O)c2ccc(N3CCC(N)C3)cc21,6.42713
NC(=S)N/N=C/c1cccc(OC(=O)c2sc3ccccc3c2Cl)c1,4.0
O=C(C1CCCCC1)n1nc(-c2ccccc2)c2c1CCN(C(=S)Nc1ccc([N+](=O)[O-])cc1)C2,4.27165
O=c1[nH]c(CC2CCC(F)(F)CC2)cc(O)c1-c1ccccc1,5.87943
Cc1cc(OC[C@@H]2CCCO2)ccc1-c1ccc(COc2ncccc2C(N)=O)nc1,5.92082
CCNC(=O)Oc1ccc(Cl)cc1C(=O)Nc1ccc(Cl)c(Cl)c1,6.22577
CCN(CC)c1ccc(NC(=O)c2cnccn2)cc1,4.94363
CCCC[C@H](CNC)N1CCN(CCC23CC4CC(CC(C4)C2)C3)[C@H](C(C)C)C1,4.0
COc1ccc(C(F)(F)F)c(NC(=O)c2cc(Cl)ccc2O)c1,5.20066
COc1cc2nc(N3CCCCC3)nc(NCc3ccc(F)cc3)c2cc1OC,4.60206
Cn1cc([N+](=O)[O-])cc1C(=O)NNC(=O)NC1CCCC1,3.88254
CCCC(=O)N1CCN(c2ccc(NC(=O)COc3ccc(C(C)CC)cc3)cc2Cl)CC1,4.58127
O=[N+]([O-])c1cc(Cl)c(O)c2ncccc12,4.78696
O=C(Nc1nnc(-c2ccc(Cl)s2)o1)c1cccc([N+](=O)[O-])c1,5.49966
CCOc1cc(CNCc2ccccc2OCc2ccccc2)cc(Cl)c1OCC,5.20025
CCCCOC(=O)c1cccc(NC(=O)c2cccc(Cl)c2)c1,4.7558
COc1ccc(CC(=O)Nc2ccc(-c3nc4ccccc4c(=O)o3)cc2)cc1,4.20581
CCCCc1ccc(NCC(O)Cn2c3ccccc3n3c(=O)cc(C)c(C#N)c23)cc1,4.0
COC(=O)CCn1c(C)cc(C(=O)COc2ccccc2C(N)=O)c1C,5.80521
CN(C(=O)N(C)C1C2CC3CC(C2)CC1C3)c1ccc(F)c(F)c1F,4.46785
Cc1cc(NS(=O)(=O)c2ccc(NC(=O)CCCOc3ccc(Cl)cc3)cc2)no1,4.71711
C1=C(c2nc(-c3ccsc3)no2)c2ccccc2C12CCN(CC1CCCO1)CC2,5.95861
CC(C)c1ccc(NC(=S)NC(=O)c2ccccc2F)cc1,4.75453
O=C(Nc1ccc(F)c(F)c1F)NC1CCCCC1,4.33808
O=[N+]([O-])c1cnc2n1C[C@H](O)CO2,4.90309
COC(=O)c1ccc(C(=O)Nc2nnc(-c3ccc(C)cc3C)o2)cc1,4.51418
COc1cc(C(c2nnnn2C(C)(C)C)N2CCN(C3=NC(=O)/C(=C/c4ccccc4)S3)CC2)cc(OC)c1OC,4.96632
O=C1N=C2C(C(=O)N=C3SC([N+](=O)[O-])=CN32)C(c2ccccc2[N+](=O)[O-])N1,3.89008
CCOC(=O)c1sc(-c2ccncc2)nc1N1CCC(NCc2ccc(Cl)c(Cl)c2)CC1,3.99251
Cc1ccc(C)c(NC(=O)c2ccc(-c3ccccc3Cl)o2)c1,4.25475
CC(C)(C)c1ccc(-c2nc(CN3CCC(C(=O)c4ccc5c(c4)CCCC5)CC3)co2)cc1,4.75646
O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc(Nc3c4ccccc4nc4ccc(Cl)cc34)cc2)cc1,4.60642
Cn1c(=O)[nH]c(=O)c2c1nc(N1CCN(CCO)CC1)n2CCOc1ccccc1,4.0
COC(=O)c1ccc(C(=O)Nc2nnc(-c3ccccc3Cl)o2)cc1,5.4608
COc1nc(C)nc(/N=C(\C)c2ccc3ccccc3c2)n1,3.76691
[O-][n+]1nc(NC2CCC2)[n+]([O-])c2cc3c(cc21)CCC3,5.62219
Cc1cc(C)c2cc(C(=O)NC3CCN(C(C)C)CC3)[nH]c2c1,3.69037
C/C(=N\NC(=O)COc1ccccc1)c1ccc(-n2cccc2)cc1,4.42603
COc1cccc2cc(-c3nnc(NC(=O)c4ccc(N(C)C)cc4)o3)oc12,4.46552
COc1cccc(Cn2cc3c(-c4ccc(Cl)cc4)nnc-3c3cc(OC)c(OC)cc32)c1,4.69937
O=[N+]([O-])c1ccc(Oc2cc(C(F)(F)F)ccc2Cl)cc1O,3.41609
Cc1cc(NCc2ccccn2)n2ncc(-c3cccc(Cl)c3)c2n1,5.60206
O=c1cc(COc2ccc(I)cc2)c2cc(Cl)ccc2o1,5.42206
COc1ccc(/C=C/c2nnc3c4ccccc4cnn23)cc1,4.27572
COc1cc2c(cc1NC(=O)c1ccc([N+](=O)[O-])o1)nc(C)n2C(C)(C)C,4.77164
O=C(Cc1cccc2ccccc12)Nc1nnc(-c2ccco2)o1,4.91093
Cc1ccc(-c2cnnc(N3CCC(c4cccc(O)c4)C3)n2)o1,4.22478
CCCCOc1cccc(C(=O)Nc2nnc(-c3cc(C)ccc3C)o2)c1,4.88156
O=C1N/C(=N/N=C/c2ccccc2O)SC1Cc1ccc(Cl)cc1Cl,5.94259
O=C(Nc1nnc(-c2ccc(F)cc2)o1)c1cccc(C(F)(F)F)c1,6.24459
Cc1ccc(NC(=O)C(=O)NNC(=O)c2ccco2)cc1Cl,5.16941
CC(C)=CCC/C(C)=C/CC/C(C)=C/CNCCNC1C2CC3CC(C2)CC1C3,6.60206
O=C(NCCC12CC3CC(CC(C3)C1)C2)c1ccc(Br)cc1,5.91463
O=C(/C=C/c1ccc([N+](=O)[O-])o1)c1ccco1,5.08197
COc1ccc(CCNC(=O)NC23CC4CC(CC(C4)C2)C3)cc1,4.89005
CC(=O)N[C@@H](Cc1ccccc1)C(=O)Oc1ccc(Cl)cc1C(=O)Nc1ccc(Cl)c(Cl)c1,5.81938
CC(C)/N=c1\cc2n(-c3ccc(F)cc3)c3ccccc3nc-2cc1Nc1cccnc1,7.14972
